pmid,authors
14770010,"Celotto, Alicia M|Graveley, Brenton R"
14770009,"Tang, Guiliang|Zamore, Phillip D"
17137497,"Vert, Jean-Philippe|Foveau, Nicolas|Lajaunie, Christian|Vandenbrouck, Yves"
15998808,"Hamilton, Benjamin|Dong, Yuqing|Shindo, Mami|Liu, Wenyu|Odell, Ian|Ruvkun, Gary|Lee, Siu Sylvia"
18227029,"Bao, Jia-Jin|Fang, Chi-Hua|Wu, Wei-Dong|Yang, Zheng-Xin"
15351635,"Gibbons, Deena L|Shashikant, Coodivaalli|Hayday, Adrian C"
18030418,"Nakamura, T|Mito, T|Bando, T|Ohuchi, H|Noji, S"
16760655,"Deb-Basu, Debabrita|Aleem, Eiman|Kaldis, Philipp|Felsher, Dean W"
17555279,"Bonfim, Kenny|Faria, Josias C|Nogueira, Elsa O P L|Mendes, Erica A|Arag&atilde;o, Francisco J L"
17891148,"Steiner, Florian A|Hoogstrate, Suzanne W|Okihara, Kristy L|Thijssen, Karen L|Ketting, Rene F|Plasterk, Ronald H A|Sijen, Titia"
11444042,"G&ouml;nczy, P|Grill, S|Stelzer, E H|Kirkham, M|Hyman, A A"
17284938,"Jia, R B|Zhang, P|Zhou, Y X|Song, X|Liu, H Y|Wang, L Z|Luo, M|Lu, J|Ge, S F|Fan, X Q"
18358089,"Cai, Xiu-Mei|Cai, Xiu-mei|Gu, Jian-Ren|Gu, Jian-ren|Jiang, Hua|Li, Zong-Hai|Li, Zong-hai|Shi, Bi-Zhi|Shi, Bi-zhi|Zhang, Jie"
18718535,"Arakane, Yasuyuki|Beeman, Richard W|Kramer, Karl J|Muthukrishnan, Subbaratnam|Specht, Charles A"
17489735,"Chen, Meihong|Du, Quan|Liang, Zicai|Wang, Xiaoxia|Zhang, Hong-Yan"
18227014,"Geng, Song-Mei|Liu, Ping|Niu, Xin-Wu|Peng, Zhen-Hui|Wang, Mei|Wang, Qiong|Wang, Wan-Juan"
16318277,"Xu, Jun|Fan, Hong|Zhao, Zhu-Jiang|Zhang, Jian-Qiong|Xie, Wei"
18071364,"Zhang, Juan|Peng, Youliang|Guo, Zejian"
